marca_monitorada,marca_colidente,classe_marca_monitorada,classe_marca_colidente,score,y,pred
META ENGENHARIA SERVIÇOS,METALUX,35,6,0.12247933,1,0
ARTEMIS,ArteRaiz,41,35,0.1338159,1,0
VITORIA LANCHES,VITÓRIA CERVEJARIA,30,35,0.13690636,1,0
SOLAR BANHO E PISCINA,Solardyne,37,9,0.14238739,1,0
ECO VIDA,VINAECO,35,30,0.1445551,1,0
CASA DO RESTAURANTE,CAZADORA,35,35,0.1523263,1,0
NACIONAL GÁS,NACIONAL FIRE,39,45,0.1569321,1,0
ROSAMANGO,ROSA MARIA,35,40,0.16956255,1,0
SOLAR BANHO E PISCINA,SOLARCYCLE,37,42,0.17080003,1,0
SOLAR BANHO E PISCINA,SolarWatts,37,35,0.17334667,1,0
DIÁRIODONORDESTE.COM.BR,DIÁRIO CELESTE,16,35,0.1770191,1,0
CRISTAL ORGÂNICOS,CRIS´AL,40,29,0.18115218,1,0
HAPVIDA CLÍNICA COMANDANTE SAMPAIO NOTREDAME,HAPVIDA CLÍNICA DAS MARIAS,44,44,0.1853134,1,0
VEM EMPREENDER,EMPREENDE QUE VENDE,35,41,0.19540806,1,0
MASSA FRITA,MAZZA FOODS,43,29,0.1999197,1,0
AFBN Incorporadora,AF CONSTRUTORA INCORPORADORA,37,36,0.21270947,1,0
NORDESTE EMPREENDEDOR,PODCAST  EMPREENDEDOR,38,41,0.22601397,1,0
GRANORTE TUBOS,GRANOS,35,19,0.22803126,1,0
COMBINADO FOOD?S,COMBINÔ!,30,35,0.22858211,1,0
BEACH SUMMER PORTO DE GALINHAS,beachx,35,25,0.23357804,1,0
BOI E BRASA,BRASA BONDE,41,35,0.23377593,1,0
WALL ENGENHARIA,WALLZ,35,35,0.2338142,1,0
GRAP Gestante e reabilitação do assoalho pélvico,GRAFTYS,44,10,0.2363387,1,0
VITORIA LANCHES,Vitoria do Cerrado,30,35,0.23830588,1,0
